Pilot_ID,Yrs_Exp_Initial,Rating_Initial,training_01,training_02,training_03,training_04,training_05,training_06,training_07,training_08,training_09,training_10,training_11,training_12,training_13,training_14,training_15,training_16,training_17,training_18,training_19,training_20,training_21,training_22,training_23,training_24,training_25,training_26,training_27,training_28,training_29,training_30,training_31,training_32,training_33,training_34,training_35,training_36,training_37,training_38,training_39,training_40,training_41,training_42,training_43,training_44,training_45,training_46,training_47,training_48,training_49,training_50
Pilot 01,8.8,tr2_blk3,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED
Pilot 02,9.0,tr2_blk3,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE
Pilot 03,8.2,tr2_blk3,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE
Pilot 04,7.5,tr2_blk3,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED
Pilot 05,6.8,tr2_blk3,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED
Pilot 06,7.9,tr2_blk3,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE
Pilot 07,9.2,tr2_blk3,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE,HAVE,NEED,HAVE
Pilot 08,7.4,tr2_blk3,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED,NEED,HAVE,NEED
Pilot 09,9.1,tr2_blk3,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,HAVE,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED,NEED
Pilot 10,6.2,tr2_blk3,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,NEED,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE,HAVE
